A0,A1,A2,A3,I0,I1,I2,I3,D0,D1,D2,D3,landslide
20.56730008,0.11,0.212209,0,2.57091251,0.001121,0.0911,0,8,1,1,0,0
1.121747851,20.56730008,0.11,0.212209,1.121747851,2.57091251,0.001121,0.0911,1,8,1,1,0
3.616926312,1.121747851,20.56730008,0.11,1.205642104,1.121747851,2.57091251,0.001121,3,1,8,1,0
17.11083351,3.616926312,1.121747851,20.56730008,2.138854189,1.205642104,1.121747851,2.57091251,8,3,1,8,0
1.675289541,17.11083351,3.616926312,1.121747851,0.418822385,2.138854189,1.205642104,1.121747851,4,8,3,1,0
33.62318196,1.675289541,17.11083351,3.616926312,2.401655854,0.418822385,2.138854189,1.205642104,14,4,8,3,0
4.422987208,33.62318196,1.675289541,17.11083351,0.884597442,2.401655854,0.418822385,2.138854189,5,14,4,8,0
33.71995643,4.422987208,33.62318196,1.675289541,2.593842802,0.884597442,2.401655854,0.418822385,13,5,14,4,0
2.975956917,33.71995643,4.422987208,33.62318196,1.487978458,2.593842802,0.884597442,2.401655854,2,13,5,14,0
32.86160189,2.975956917,33.71995643,4.422987208,6.572320378,1.487978458,2.593842802,0.884597442,5,2,13,5,0
4.520984441,32.86160189,2.975956917,33.71995643,0.452098444,6.572320378,1.487978458,2.593842802,10,5,2,13,0
0,4.520984441,32.86160189,2.975956917,0,0.452098444,6.572320378,1.487978458,0,10,5,2,0
2.387868613,0,4.520984441,32.86160189,0.795956204,0,0.452098444,6.572320378,3,0,10,5,0
11.44427037,2.387868613,0,4.520984441,2.288854074,0.795956204,0,0.452098444,5,3,0,10,0
6.11989294,11.44427037,2.387868613,0,1.529973235,2.288854074,0.795956204,0,4,5,3,0,0
10.07791287,6.11989294,11.44427037,2.387868613,2.015582573,1.529973235,2.288854074,0.795956204,5,4,5,3,0
0.824368276,10.07791287,6.11989294,11.44427037,0.274789425,2.015582573,1.529973235,2.288854074,3,5,4,5,0
15.91326229,0.824368276,10.07791287,6.11989294,1.989157787,0.274789425,2.015582573,1.529973235,8,3,5,4,0
3.748129115,15.91326229,0.824368276,10.07791287,1.874064557,1.989157787,0.274789425,2.015582573,2,8,3,5,0
3.911595225,3.748129115,15.91326229,0.824368276,1.955797613,1.874064557,1.989157787,0.274789425,2,2,8,3,0
0.504798949,3.911595225,3.748129115,15.91326229,0.252399474,1.955797613,1.874064557,1.989157787,2,2,2,8,0
1.412393808,0.504798949,3.911595225,3.748129115,0.706196904,0.252399474,1.955797613,1.874064557,2,2,2,2,0
0.176616997,1.412393808,0.504798949,3.911595225,0.176616997,0.706196904,0.252399474,1.955797613,1,2,2,2,0
0,0.176616997,1.412393808,0.504798949,0,0.176616997,0.706196904,0.252399474,0,1,2,2,0
0,0,0.176616997,1.412393808,0,0,0.176616997,0.706196904,0,0,1,2,0
0,0,0,0.176616997,0,0,0,0.176616997,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
88.11647499,0,0,0,8.811647499,0,0,0,10,0,0,0,0
0,88.11647499,0,0,0,8.811647499,0,0,0,10,0,0,0
0,0,88.11647499,0,0,0,8.811647499,0,0,0,10,0,0
0,0,0,88.11647499,0,0,0,8.811647499,0,0,0,10,0
0.375920564,0,0,0,0.187960282,0,0,0,2,0,0,0,0
12.95548004,0.375920564,0,0,1.177770913,0.187960282,0,0,11,2,0,0,0
7.846064925,12.95548004,0.375920564,0,1.569212985,1.177770913,0.187960282,0,5,11,2,0,0
0,7.846064925,12.95548004,0.375920564,0,1.569212985,1.177770913,0.187960282,0,5,11,2,0
8.794308305,0,7.846064925,12.95548004,1.099288538,0,1.569212985,1.177770913,8,0,5,11,0
0,8.794308305,0,7.846064925,0,1.099288538,0,1.569212985,0,8,0,5,0
0.458744407,0,8.794308305,0,0.458744407,0,1.099288538,0,1,0,8,0,0
0,0.458744407,0,8.794308305,0,0.458744407,0,1.099288538,0,1,0,8,0
2.286842674,0,0.458744407,0,0.762280891,0,0.458744407,0,3,0,1,0,0
0,2.286842674,0,0.458744407,0,0.762280891,0,0.458744407,0,3,0,1,0
9.373338498,0,2.286842674,0,1.339048357,0,0.762280891,0,7,0,3,0,0
19.21791622,9.373338498,0,2.286842674,1.921791622,1.339048357,0,0.762280891,10,7,0,3,0
0.509791121,19.21791622,9.373338498,0,0.25489556,1.921791622,1.339048357,0,2,10,7,0,0
